REGION,PROVINCIA,COMUNA,DISTRITO,COD_DISTRI,COD_LOCALI,COD_ENTIDA,CATEGORIA,PERSONAS,HOMBRES,MUJERES,DE_0_A_5_A,DE_6_A_14_,DE_15_A_64,DE_65_MAS_,INMIGRANTE,PUEBLOS_OR,VIVIENDAS_,VIVIENDAS1,VIV_OCUPAD,TOTAL_VIVI,TOT_HOGARE,CASA,DEPTO,VIV_INDIGE,CONVENTILL,MEDIAGUA,MOVIL,OTRA_VIV_P,VIV_HORMIG,VIV_ALBANI,VIV_TABIQU,VIV_TABI_1,VIV_ADOBE,VIV_PARED_,VIV_TEJAS_,VIV_LOSA_H,VIV_PLANCH,VIV_FONOLI,VIV_PAJA,VIV_TECHO_,VIV_SIN_TE,VIV_PARQUE,VIV_RADIER,VIV_BALDOS,VIV_CAPA_C,VIV_PISO_T,IND_MAT_AC,IND_MAT_RE,IND_MAT_IR,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,x,y
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,5,1,66,30,36,Indeterminado,11,48,Indeterminado,Indeterminado,6,21,0,21,21,22,21,0,0,0,0,0,0,0,21,0,0,0,0,1,0,20,0,0,0,0,21,0,0,0,0,21,0,0,21,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,54,1,32,13,19,7,Indeterminado,19,Indeterminado,0,0,12,0,10,12,10,12,0,0,0,0,0,0,0,1,5,3,0,0,0,0,9,0,0,0,0,8,0,1,0,0,5,4,0,9,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,6,1,64,34,30,Indeterminado,15,39,Indeterminado,0,8,16,0,16,16,17,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,52,1,50,22,28,Indeterminado,Indeterminado,30,11,Indeterminado,Indeterminado,16,0,16,16,16,16,0,0,0,0,0,0,0,2,13,0,1,0,0,0,16,0,0,0,0,16,0,0,0,0,15,1,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,50,1,42,21,21,Indeterminado,Indeterminado,26,11,0,Indeterminado,13,0,13,13,13,11,0,0,0,2,0,0,0,1,10,2,0,0,0,0,13,0,0,0,0,12,0,1,0,0,10,3,0,13,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,54,1,19,10,9,Indeterminado,Indeterminado,15,Indeterminado,0,Indeterminado,8,0,8,8,8,8,0,0,0,0,0,0,0,2,3,3,0,0,0,0,8,0,0,0,0,5,0,1,2,0,3,5,0,8,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,49,1,71,33,38,Indeterminado,Indeterminado,45,17,Indeterminado,Indeterminado,27,0,24,27,26,26,0,0,0,1,0,0,1,3,18,2,0,0,0,0,23,1,0,0,0,21,0,0,1,0,19,3,0,22,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,47,1,27,15,12,Indeterminado,5,18,Indeterminado,0,10,9,0,9,9,9,9,0,0,0,0,0,0,0,1,7,1,0,0,1,0,8,0,0,0,0,9,0,0,0,0,8,1,0,9,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,10,1,50,24,26,6,6,30,8,0,4,20,0,15,20,15,20,0,0,0,0,0,0,1,1,10,3,0,0,6,0,8,0,0,0,1,14,0,0,1,0,11,3,1,15,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,17,1,71,35,36,Indeterminado,Indeterminado,47,12,Indeterminado,9,28,0,25,28,25,28,0,0,0,0,0,0,0,5,18,2,0,0,0,0,23,0,0,2,0,25,0,0,0,0,21,2,2,25,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,36,1,1290,624,666,119,225,862,84,24,72,401,0,384,401,388,401,0,0,0,0,0,0,39,337,6,0,0,0,201,1,175,2,0,2,0,374,0,6,0,0,369,8,2,382,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,11,1,164,76,88,7,29,117,11,Indeterminado,8,54,0,52,54,53,54,0,0,0,0,0,0,1,51,0,0,0,0,1,0,51,0,0,0,0,52,0,0,0,0,52,0,0,52,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,56,1,81,44,37,Indeterminado,Indeterminado,57,11,Indeterminado,5,25,0,25,25,25,25,0,0,0,0,0,0,0,5,16,3,0,1,1,0,22,0,0,2,0,22,0,2,1,0,18,4,3,24,1,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,10,1,150,67,83,8,20,108,14,7,11,53,0,51,53,51,53,0,0,0,0,0,0,3,47,1,0,0,0,6,1,44,0,0,0,0,50,0,1,0,0,50,1,0,51,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,2,1,88,40,48,7,8,64,9,0,13,33,0,32,33,32,33,0,0,0,0,0,0,1,30,1,0,0,0,4,0,28,0,0,0,0,32,0,0,0,0,32,0,0,32,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,63,1,48,19,29,Indeterminado,Indeterminado,26,13,0,Indeterminado,17,0,17,17,17,17,0,0,0,0,0,0,3,2,7,4,1,0,4,0,13,0,0,0,0,17,0,0,0,0,12,5,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,1,1,74,33,41,Indeterminado,11,51,Indeterminado,Indeterminado,6,24,0,24,24,26,24,0,0,0,0,0,0,1,23,0,0,0,0,5,0,19,0,0,0,0,24,0,0,0,0,24,0,0,24,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,9,1,156,72,84,9,26,115,6,0,Indeterminado,55,0,54,55,55,55,0,0,0,0,0,0,6,48,0,0,0,0,9,0,45,0,0,0,0,54,0,0,0,0,54,0,0,54,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,8,1,157,67,90,8,28,110,11,Indeterminado,11,52,0,48,52,49,52,0,0,0,0,0,0,0,48,0,0,0,0,10,0,38,0,0,0,0,47,0,1,0,0,47,1,0,48,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,3,1,76,39,37,7,8,52,9,0,9,25,0,23,25,23,25,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,23,0,0,23,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,7,1,153,72,81,13,18,101,21,0,6,52,0,51,52,51,52,0,0,0,0,0,0,2,48,1,0,0,0,9,0,41,1,0,0,0,50,0,1,0,0,49,2,0,51,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,55,1,48,21,27,Indeterminado,6,36,Indeterminado,5,9,17,0,16,17,16,16,0,0,0,0,0,1,1,7,6,2,0,0,1,0,15,0,0,0,0,15,1,0,0,0,13,3,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,65,1,85,43,42,7,9,62,7,Indeterminado,8,27,0,26,27,26,27,0,0,0,0,0,0,0,3,19,4,0,0,6,0,20,0,0,0,0,25,0,1,0,0,22,4,0,26,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,57,1,61,37,24,Indeterminado,Indeterminado,46,10,Indeterminado,Indeterminado,20,0,18,20,18,20,0,0,0,0,0,0,4,4,4,5,1,0,0,0,18,0,0,0,0,18,0,0,0,0,12,6,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,502,1,88,43,45,8,13,56,11,Indeterminado,4,28,0,27,28,27,27,1,0,0,0,0,0,4,4,14,5,0,0,0,1,23,0,0,1,0,23,2,0,0,0,18,6,1,27,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,58,1,38,16,22,Indeterminado,Indeterminado,26,7,0,Indeterminado,19,0,16,19,16,19,0,0,0,0,0,0,1,5,8,0,2,0,1,0,15,0,0,0,0,16,0,0,0,0,14,2,0,15,0,0,0,,
